schema_version,pass_id,source_image,source_image_sha256,image_width_pixels,image_height_pixels,sequence_index,landmark_id,category,description,pixel_x,pixel_y,model_x,model_y,registration_default
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,0,square_corner_top_left,square_corner,Top-left corner of the Earth square.,363.335716,1050.959804,-5.5,5.5,true
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,1,square_corner_top_right,square_corner,Top-right corner of the Earth square.,1141.250362,1051.368543,5.5,5.5,true
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,2,square_corner_bottom_right,square_corner,Bottom-right corner of the Earth square.,1145.464824,1844.689199,5.5,-5.5,true
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,3,square_corner_bottom_left,square_corner,Bottom-left corner of the Earth square.,369.107021,1845.980963,-5.5,-5.5,true
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,4,junction_top_left,square_circle_junction,Left junction on the top side of the Earth square.,365.348687,1133.402613,-4.3301270189221936,5.5,true
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,5,junction_top_right,square_circle_junction,Right junction on the top side of the Earth square.,445.473684,1050.993956,4.3301270189221936,5.5,true
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,6,junction_right_upper,square_circle_junction,Upper junction on the right side of the Earth square.,1060.281817,1050.882716,5.5,4.3301270189221936,true
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,7,junction_right_lower,square_circle_junction,Lower junction on the right side of the Earth square.,1140.637664,1129.678742,5.5,-4.3301270189221936,true
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,8,junction_bottom_right,square_circle_junction,Right junction on the bottom side of the Earth square.,1145.746342,1757.570583,4.3301270189221936,-5.5,true
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,9,junction_bottom_left,square_circle_junction,Left junction on the bottom side of the Earth square.,1062.362627,1845.005856,-4.3301270189221936,-5.5,true
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,10,junction_left_lower,square_circle_junction,Lower junction on the left side of the Earth square.,450.485032,1846.878287,-5.5,-4.3301270189221936,true
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,11,junction_left_upper,square_circle_junction,Upper junction on the left side of the Earth square.,368.687069,1763.989222,-5.5,4.3301270189221936,true
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,12,moon_centre_00,moon_centre,"Centre of Moon circle 00, ordered counter-clockwise from the top; model angle 90.000000 degrees.",535.594394,992.259502,0,7,false
1,pass-01,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,13,moon_centre_01,moon_centre,"Centre of Moon circle 01, ordered counter-clockwise from the top; model angle 115.911931 degrees.",751.703578,941.855192,-3.0589236946778646,6.2962676110643772,false
