schema_version,pass_id,source_image,source_image_sha256,image_width_pixels,image_height_pixels,sequence_index,landmark_id,category,description,pixel_x,pixel_y,model_x,model_y,registration_default
1,pass-03,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,0,square_corner_top_left,square_corner,Top-left corner of the Earth square.,365.553646,1052.490592,-5.5,5.5,true
1,pass-03,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,1,square_corner_top_right,square_corner,Top-right corner of the Earth square.,1141.279266,1051.427469,5.5,5.5,true
1,pass-03,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,2,square_corner_bottom_right,square_corner,Bottom-right corner of the Earth square.,1145.177385,1843.808687,5.5,-5.5,true
1,pass-03,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,3,square_corner_bottom_left,square_corner,Bottom-left corner of the Earth square.,369.061322,1845.702273,-5.5,-5.5,true
1,pass-03,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,4,junction_top_left,square_circle_junction,Left junction on the top side of the Earth square.,365.343261,1133.122501,-4.3301270189221936,5.5,true
1,pass-03,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,5,junction_top_right,square_circle_junction,Right junction on the top side of the Earth square.,445.286280,1050.909248,4.3301270189221936,5.5,true
1,pass-03,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,6,junction_right_upper,square_circle_junction,Upper junction on the right side of the Earth square.,1061.197691,1050.158578,5.5,4.3301270189221936,true
1,pass-03,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,7,junction_right_lower,square_circle_junction,Lower junction on the right side of the Earth square.,1141.371361,1130.176324,5.5,-4.3301270189221936,true
1,pass-03,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,8,junction_bottom_right,square_circle_junction,Right junction on the bottom side of the Earth square.,1145.944121,1757.563858,4.3301270189221936,-5.5,true
1,pass-03,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,9,junction_bottom_left,square_circle_junction,Left junction on the bottom side of the Earth square.,1061.780194,1844.828561,-4.3301270189221936,-5.5,true
