schema_version,pass_id,source_image,source_image_sha256,image_width_pixels,image_height_pixels,sequence_index,landmark_id,category,description,pixel_x,pixel_y,model_x,model_y,registration_default
1,pass-02,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,0,square_corner_top_left,square_corner,Top-left corner of the Earth square.,366.347342,1052.208795,-5.5,5.5,true
1,pass-02,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,1,square_corner_top_right,square_corner,Top-right corner of the Earth square.,1141.504136,1050.993262,5.5,5.5,true
1,pass-02,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,2,square_corner_bottom_right,square_corner,Bottom-right corner of the Earth square.,1145.586363,1843.648913,5.5,-5.5,true
1,pass-02,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,3,square_corner_bottom_left,square_corner,Bottom-left corner of the Earth square.,368.731174,1844.756333,-5.5,-5.5,true
1,pass-02,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,4,junction_top_left,square_circle_junction,Left junction on the top side of the Earth square.,365.615337,1132.223647,-4.3301270189221936,5.5,true
1,pass-02,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,5,junction_top_right,square_circle_junction,Right junction on the top side of the Earth square.,445.877170,1050.973088,4.3301270189221936,5.5,true
1,pass-02,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,6,junction_right_upper,square_circle_junction,Upper junction on the right side of the Earth square.,1060.261115,1050.497762,5.5,4.3301270189221936,true
1,pass-02,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,7,junction_right_lower,square_circle_junction,Lower junction on the right side of the Earth square.,1142.192482,1130.444633,5.5,-4.3301270189221936,true
1,pass-02,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,8,junction_bottom_right,square_circle_junction,Right junction on the bottom side of the Earth square.,1145.908720,1757.505263,4.3301270189221936,-5.5,true
1,pass-02,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,9,junction_bottom_left,square_circle_junction,Left junction on the bottom side of the Earth square.,1062.630730,1844.681372,-4.3301270189221936,-5.5,true
1,pass-02,city_of_revelation_page_069.png,d2ba830db44db6b0a6db8a6d41be780e2f9ef6391d6d832355d0531c282563fa,1512,2327,10,junction_left_lower,square_circle_junction,Lower junction on the left side of the Earth square.,448.813457,1846.337173,-5.5,-4.3301270189221936,true
