observation_id,category,centroid_x_pixels,centroid_y_pixels,rms_pixels,maximum_pairwise_pixels
square_corner_top_left,square_corner,367.7263776961008,367.96842926268664,0.7301163856692368,1.6287219606689394
square_corner_top_right,square_corner,1153.1907334924915,376.24500771345674,0.6059897320303048,1.3711695763705078
square_corner_bottom_right,square_corner,1142.2765973854205,1170.0245584460165,1.63048520622048,3.6411450237954135
square_corner_bottom_left,square_corner,356.42685564519144,1162.315375755332,0.5484306181572738,1.3246266254112893
junction_top_left,square_circle_junction,453.3567990295055,367.233124646072,0.7448244793080635,1.812996409774697
junction_top_right,square_circle_junction,1070.226420901445,374.8074215849386,0.7128528401799659,1.7343026902826821
junction_right_upper,square_circle_junction,1152.470953361052,461.0669673082807,1.0047189389412392,2.2552816910962896
junction_right_lower,square_circle_junction,1143.6880564500036,1088.863154276071,0.9418996257245841,2.260814884695367
junction_bottom_right,square_circle_junction,1060.9178670710764,1169.6893450598036,0.9371579668521806,2.091019352537901
junction_bottom_left,square_circle_junction,442.30756229884986,1163.9737291950942,0.9134347417950014,2.0304325698596033
junction_left_lower,square_circle_junction,358.55189041893806,1077.232682700578,0.8069466115969696,1.658703324886077
junction_left_upper,square_circle_junction,366.9433715471826,449.41887624788257,1.1274870042372658,2.7326157394449333
